"COLLPER","SELUNIT_ID","PSUIX","SEGID","LINEID","DSCOPSTT","INITSTAT","TENURE","COUNTY","STATE","CPMOVIN","LGHOCC","RNTC","RSPCODC","t_prcuse6","NOBED","NOHBH","NOFULBH","TYSTRC","tystrc_desc","ECRNTCL","PURNTCL","Collected_Or_Imputed","LATITUDE","LONGITUDE","UTAPT","UTCITY","UTSENA","UTSENO","UTSTATE","UTZIP","Clust"
"202601",185271,"S11A","B0179",65,"I","S","R","015","NH","201310",142,2000,"01","Y","2","0","1","1","Single Detached",2060.75167078216,2013.33852118672,"Collected",43.010589,-71.379284,"","AUBURN","MANCHESTER RD","415","NH","03032",7
"202601",185278,"S11A","B0179",203,"I","S","R","015","NH","201501",127,1200,"01","Y","2","0","1","9","Multi, 5-9 units",1185.19338941461,1196.01898463182,"Collected",43.008255,-71.387819,"2","AUBURN","MANCHESTER RD","518","NH","03032",7
"202601",185279,"S11A","B0179",207,"I","S","R","015","NH","201901",79,1000,"01","Y","2","0","1","9","Multi, 5-9 units",1590.00525093518,1542.54744017944,"Collected",43.008255,-71.387819,"6","AUBURN","MANCHESTER RD","518","NH","03032",7
"202601",185280,"S11A","B0179",218,"I","S","R","015","NH","201906",74,950,"01","Y","2","0","1","8","Multi, 3-4 units",989.994619293824,942.830392489185,"Collected",43.007102,-71.389116,"C","AUBURN","MANCHESTER RD","542","NH","03032",7
"202601",185300,"S11A","B0179",677,"I","S","R","015","NH","200710",214,229,"02","J","3","0","1","8","Multi, 3-4 units",2038.38196947291,1923.558006672,"Imputed",43.009115,-71.391713,"1","AUBURN","ROCKINGHAM RD","328","NH","",7
"202601",185489,"S11A","B0187",132,"I","S","R","015","NH","202212",32,2100,"01","Y","1","0","1","7","Multi, 2 units",2077.82282964273,2030.73083508283,"Collected",42.759658,-71.25548,"","SALEM","BRADY AVE","115B","NH","03079",2
"202601",185502,"S11A","B0187",566,"I","S","R","015","NH","201907",73,1050,"02","J","1","0","1","9","Multi, 5-9 units",1074.55847880069,1064.50705509541,"Imputed",42.754666,-71.226648,"6","SALEM","CROSS ST","28","NH","03079",2
"202601",185596,"S11A","C0001",278,"I","S","R","009","MA","202503",11,500,"01","Z","4","0","2","7","Multi, 2 units",3200,3152.19,"",42.478153,-70.926097,"APT 2","SWAMPSCOTT","CRESCENT ST","52","MA","01907",1
"202601",185601,"S11A","C0001",465,"I","S","R","009","MA","202206",38,2800,"02","J","3","0","1","7","Multi, 2 units",2898.49470845989,2770.85118224639,"Imputed",42.475627,-70.922809,"APT 1","SWAMPSCOTT","ESSEX ST","82","MA","01907",1
"202601",186177,"S11A","C0039",26,"I","S","R","017","MA","202312",20,990,"01","Y","3","0","2","8","Multi, 3-4 units",3290.18776158625,3242.6802267296,"Collected",42.22826,-71.52268,"APT 4","HOPKINTON","MAIN ST","65","MA","01748",8
